,formula,disorder
9297,Ba1.2 Cu3 O7.31 Pr1.8,3
9298,Co0.12 Li2 Mn0.65 Ni0.23 O3,1
9299,Ce0.5 Pd3 Sc0.5,1
9300,Ca2 Mg1 O7 Si2,0
9301,Pb1 Re3 S6,2
9302,Bi1 La1 O1 Pb1 S3,1
9303,As2.66 Ba1 Cu6 Sn2,2
9304,Fe2 Tb0.9 Y0.1,1
9305,Ge1 Li1 Sm1,0
9306,Ge1 Mn0.18 Pd1.82,1
9307,Na2 O12 Se4 Zn3,0
9308,Al5.41 Fe2.59 Ge3.686 O19.38,3
9309,O9 P2 Zr2,0
9310,Cr2 Na2 O7,0
9311,Fe16.5 Ga0.5 Sm2,1
9312,Cr0.5 Cu0.5 Mn2 O4,1
9313,Er2 Hf1 S5,0
9314,Ba2 Mn0.11 Mo1 Nd0.89 O6,1
9315,Al4 Fe13 Nd1 Tb1,1
9316,Bi0.9 Mn1 O6 Sr3.1,1
9317,Cd1 Te4 Tl2,0
9318,As1 Ti0.43 V0.57,1
9319,N1 Ti2 Zn1,0
9320,Ba2 Na1 O5.5 W1,3
9321,B1 Br1 O7 Pb6,0
9322,Ba1 Cl1 Li1 O5 Te2,0
9323,S21 Sb10 Sn6,1
9324,Ba1.8 Cu3 O6.77 Pr1 Sr0.2,3
9325,Ca0.7 Cd0.3 O4 W1,3
9326,Al0.6 Ga5.4 N2 Na8 O28 Si6,3
9327,As3 O1 Sr3 Ta1,0
9328,Mo0.26 Pd0.74,1
9329,O67 Ta21.96 W4.04,3
9330,Ni0.52 Pd0.48,1
9331,Ce0.02 Co4 Sb11.81,2
9332,Er4.6 Mn0.4 S7,1
9333,Ba1 Ga1 La1 O4,0
9334,Co0.256 Ni0.744 Sb3,1
9335,Be5.11 Rh0.79,2
9336,Ba1 Fe0.5 Nb0.5 O3,1
9337,Na0.799 O4 Ti2,2
9338,Ba0.3 K0.7 Nb1 O3,1
9339,Ba1 Fe2 Gd1 O5.061,2
9340,Au0.9 Li1.1,1
9341,Ga12 Pt1 Tb4,0
9342,C18 Br2 Ge2 Mn4 O18,0
9343,Bi2 Br1 O4 Yb1,0
9344,Mo2.4 O16 V3.6,3
9345,Au1 Pb1 Y1,0
9346,As3 Ba1 Cu1 Si2,0
9347,Ga0.2 Ge1 Na1.8 O4 Zn0.8,3
9348,Ga1 Ir1 Th1,0
9349,Cu2 Fe0.92 S8 Zr3.08,1
9350,Fe0.664 Mn0.336 O1,1
9351,Al4 Au1.96 La1 Si1.04,1
9352,K2 Te2 Zn1,0
9353,Ag0.78 Se2 Sn1.22,1
9354,Ca2 Cr0.02 Mg1 O7 Si1.98,1
9355,O6 P1 Sr1 V1,0
9356,Ag4 O7 V2,0
9357,Fe1 Mg1 Na1 O12 S3,1
9358,Fe0.5 Ni0.5 Ti1,1
9359,Cu0.15 Fe0.85,1
9360,Co1 Fe1.8 In0.2 O4,1
9361,Al10 Fe2 O19 Sr1,1
9362,C4 Br2 Fe1 Hg2 O4,0
9363,Ba1 Mg0.317 Nb0.633 O3 Zr0.05,1
9364,Ge0.8 Ho1 Si0.2,1
9365,Cu1 O4 Rh2,0
9366,Ba3 Ge3.84 Si0.16,1
9367,Mg1 Ni2 O8 V2,1
9368,Ca0.5 Cu2 La1.9 O6.063 Sr0.6,3
9369,Al1 Er1 Pt1,0
9370,As1 Co0.175 Fe0.825 O1 Sm1,1
9371,Ir1 O2,0
9372,B1 Co11.2 Nd2 Ni2.8,1
9373,Nb6 Rb12 Se35,0
9374,C1 Fe14 Gd2,0
9375,B6 Pu2 Tc1,0
9376,Br4 Cs2 Re6 S8,0
9377,Nb2.94 Nd1 O11.51 Sr3 Ti0.06,3
9378,Mg4 Nb2 O9,0
9379,La0.3 O4 P1 Pr0.7,1
9380,Cr0.75 Mn0.25 Te1,1
9381,Bi2 F2 O4 Ti1,3
9382,B6 Ca1,0
9383,Fe0.834 Mn0.094 Ti1.012 V0.06,1
9384,Ag1 Al1 Li2,0
9385,Gd1 Sn6 V6,3
9386,K3 Li1 O7 P2,0
9387,Li1 Mg0.25 Mn1.75 O4,1
9388,Eu3 P4,0
9389,Cu0.14 In1.8 O3 Sb0.06,1
9390,F4 Np1,0
9391,Co0.6 Fe1.4 P1,3
9392,Ca0.25 Cu2 Ga1 O7 Sr2 Tm0.75,3
9393,Ba3 Ir2 Na1 O9,0
9394,Bi1.74 Ca2.74 Cl4 O3.32,3
9395,Co0.03 Fe0.32 Ir0.2 Ni0.42 Pt0.03,1
9396,La1 Mn2 O7 Sr2,1
9397,Al1 Ca0.08 F5 Sr0.92,1
9398,Ba1 Ca0.05 Co2 Gd0.95 O5.5,1
9399,Ba6 In2 S10,2
9400,B7 Mg3 O12.65 S0.85,2
9401,B8 Ba11 K4 S25,1
9402,C0.5 Fe17 Pr2,2
9403,Al0.95 Ca2 Fe1 Mg0.05 O5,1
9404,Dy1 Rb0.324 Se2.656,2
9405,Ge3 Pr4 S12,0
9406,Ca1.8 La1.2 Mn2 O7,1
9407,Ni1 P1 Pd1,0
9408,Al11.5 Ca0.5 Mg0.5 Nd0.5 O19,3
9409,Cu1 Mo2 O8 Sb1,0
9410,Ba3 In2 P4,0
9411,B2 Cl1 O4 Pr1,0
9412,Er1 F1 O1,0
9413,Ba2 Cu2.75 Fe0.25 La1 O6.53,3
9414,Cu0.67 Fe2.33 O4,1
9415,Ca2 Co1 O3,0
9416,Ba2 Nb4.47 O9 Ti0.53,1
9417,C1 P1 V2,0
9418,Ca4.991 F1.004 O12 P2.874,2
9419,Fe0.977 P1 Rh1.023,1
9420,Cr0.704 Fe1.266 Mg0.998 O4,3
9421,Ba3 Na1 O12 Sb3 Sr1,1
9422,B1 Na2 O5 U1,0
9423,Ga0.2 Ge5.8 Mn6 Tb1,1
9424,Cu1 Ho2 O5 Sr1,0
9425,Ba5 Nb2 O11,2
9426,F6 K3 Mo1,0
9427,Nb1 O4 Rh1,1
9428,Ca10 O24 P6 Se1,0
9429,As1 K3 Se11 Ta2,0
9430,Bi1.25 Mn1.51 O7 Sb1.14,3
9431,Cr0.08 Nb2.92 P1,1
9432,Fe0.49 In0.51 Li1 O7 P2,1
9433,O5 P1 Ta1,0
9434,Gd2 O7 Te0.05 Ti1.95,3
9435,Cl3 Fe1 K1,0
9436,B1 Mg8 Pt4,0
9437,Cu1 Ge1 Se7 Y3,0
9438,Nb2 Pd0.731 Se5,2
9439,Mg4 P6 Rh7,0
9440,Cs2 Mn1 P2 Se6,0
9441,Ca0.945 Mg0.394 Ni0.661 O6 Si2,3
9442,Bi1 O12 P3 Pb3,1
9443,Mo6.28 S3.22 Se4.78,3
9444,C2 B1 Sc2,0
9445,Bi3 O6.15 W0.1 Y0.9,3
9446,Ba1 F5 Sb1,0
9447,Cu2 P2 Th1,0
9448,Ce0.05 Gd1.95 O7 Ti2,1
9449,Ag2 Cd1 I4,0
9450,Al1 B2 Co0.3 Fe1.7,1
9451,Hg0.1 Mn0.9 Te1,1
9452,Al4 Mg1.88 Ni0.12 O18 Si5,1
9453,P2 Pr1,0
9454,K1 P2 Se6 Y1,0
9455,Cu2 Fe0.67 S4 Sn1 Zn0.33,1
9456,Li1 Nd1 O8 W2,1
9457,Li53.33 N32 Ti10.67,1
9458,Ge3 Ni0.98 Pr1,2
9459,Ba2 Ca0.24 Cu2.76 Fe0.24 O6 Y0.76,1
9460,Mg1 Ni2 Pr2,0
9461,La1 Ni4.8 Sn0.2,1
9462,Nb2 O7 U0.667,2
9463,Dy1 Hg1,0
9464,Cu1 Gd3 Se6,2
9465,Ba0.24 O8 P2 Pb2.76,1
9466,Na3 Si136,2
9467,Ba1 Co2 O5.765 Pr1,2
9468,Al1 F4 Na1,0
9469,Co2 O6.13 Sr3,2
9470,F2 Mg3.98 Na2.89 O22 Sc1.05 Si8,3
9471,N3 W2,2
9472,Al1 Na1 Te2,0
9473,C2 Au1 N2 Tl1,0
9474,O7 Y2 Zr2,3
9475,B2 Fe0.64 Hf2 Ir5.36,1
9476,Ge5 Ir3 La2,0
9477,Ag2 Ba1 Mn1 O8 V2,0
9478,Mg0.98 Nb2.02 O21 P6,1
9479,Ba1 Gd0.5 Nb0.5 O3,1
9480,Al20 K0.6 O192 Rb19.4 Si76,3
9481,Cd0.2 Fe1 La0.8 O2.982,3
9482,Al14.96 B4 O36.83 Si4,2
9483,Na0.751 O4 Ti2,2
9484,Ni2 Sc1 Sn1,0
9485,F1 K5 O16 Pr4 Si4,0
9486,Ca0.4 O3 Sn1 Sr0.6,1
9487,Mg1 Pr1 Sn2,0
9488,Au1 Ca1 P1,0
9489,Mn1 Nb1.9 O6 V0.1,1
9490,Se3 Tl5,0
9491,Ba8 Ge42.84,2
9492,Ba1 Fe11.04 O23 Ti2.96,1
9493,Fe1 Mn0.5 O12 P3 Sb1,2
9494,Fe2 In2 Se5,0
9495,La1 Mn1 O2.78,2
9496,Ga8.9 Na7.26 O72 Si27.1,3
9497,Cs1 F6 Ga1 Mg1,1
9498,C6 K2 N6 Pt1,2
9499,Ca0.84 Na0.16 O4 Pd3,1
9500,Cs1 F7 Tb2,0
9501,Al0.97 Ca0.23 Fe0.07 Na0.77 O6 Si1.96,1
9502,Al2 Au2 Nd1,0
9503,Ca1 Na1 O9 P3,0
9504,Al0.28 Ca0.65 Fe0.13 Mg0.65 Na0.26 O6 Si2 Ti0.01,3
9505,N1 Th0.5 U0.5,1
9506,Co1 Dy1 Ge1,0
9507,Cu1.885 S4 Sn1 Zn1.058,3
9508,Cd1 Fe1 P2 S6,1
9509,Be1 K4 P2,0
9510,Gd0.5 Mo2 O8 Rb2.5,1
9511,Ge1 Zr1,0
9512,Ga7 Pd3,0
9513,Al2 Ba2 Ca1 F14 Mg1,0
9514,O1.17 Sm0.33 Th0.67,3
9515,Nb0.787 O5 P1 W0.213,3
9516,Na2 O4 S1,2
9517,Bi1 Na1,0
9518,Bi1 Cl1 S1,0
9519,Co2 Mn5 O21 Sr9,0
9520,B4 Er4 F2 O11,0
9521,Fe1 Mo1 Nd0.4 O6 Sr1.6,1
9522,Mn3 Si5 Tm2,0
9523,Ba4 In2 Se5 Te2,0
9524,Bi9.32 Fe1.08 Nb16.92 O57.628,3
9525,Cr0.2 Fe0.8 Ga1,1
9526,La3 Li5.9 O12 Sm0.45 Ta1.55,3
9527,Ba0.5 Co1 La0.5 O3,1
9528,In1.33 Pd1 Sb0.67,1
9529,Cu1 La1.94 O4 Sr0.06,1
9530,Ag0.925 Sb0.075,1
9531,Ba1 P10 Si7,0
9532,Fe0.9 Nd1 Ru1.1 Si2,1
9533,Fe16.874 N2.899 Sm1.924,3
9534, Al0.25 Ca0.645 Cr0.044 Fe0.112 Mg0.957 Mn0.002 Na0.094 O6 Si1.888 Ti0.008,1
9535,Ga3 Gd2.877 O11.805 Sc1.993,2
9536,Gd9 Mg4 Os1,0
9537,Li0.67 Mg0.66 Mn1.33 O3.67,3
9538,Fe1 N0.0897,2
9539,Al0.293 In2.373 S4,3
9540,Li0.46 O5 S2 Ti2 Y2,2
9541,Ho0.74 Mn0.75 Ni1.49,3
9542,B1 K3 O13 Sb4,0
9543,Al2 La0.5 Yb0.5,1
9544,In7 Np1 Pt2,0
9545,La2 O6.73 Ti2,2
9546,Ce1 Cu9 In4,1
9547,Ba1.3 Co1.3 O16 Ti6.7,3
9548,Au0.5 Nb3 Pt0.5,1
9549,Mg1 N2 O6 Si2 Sr4,0
9550,Cs1 F6 Fe3 O6 Se2,0
9551,Ni9 Ti2 Zr1,1
9552,Cu2 Ge2 Tb1,0
9553,Na12.16 O144 Si72,2
9554,Ca8.83 F2 O24 P6 Sr1.17,1
9555,Ga2 Ni1 Sc1,0
9556,Cu0.93 La1.85 Ni0.07 O4 Sr0.15,1
9557,Fe22 Zn78,1
9558, Al1.67 F2 Fe0.57 K0.8 Li0.93 Mn0.07 Na0.02 O10 Rb0.01 Si3.395,3
9559,Li0.5 Mn2 O4,0
9560,B2 Co4.74 O10 Ti1.26,3
9561,Dy1 Ge3,0
9562,Co1 Ga1 Ho1,0
9563,Ba2 Cu3 O6.85 Pr1,2
9564,Ba8 Ga1 Li13 Sb12,1
9565,As0.87 B2 Mg2 Rh5,2
9566,Fe5 P1 Si1,1
9567,Li0.79 Ni1.21 O2,1
9568,Br1 Pr3 S8 Si2,0
9569,Mg0.2 O1.8 Zr0.8,3
9570,Mo0.08 O5 V1.92,1
9571,Gd2 Ni1 Si1,1
9572,Ag2 B8 O13,2
9573,Ba0.2 Mn1 Nd0.7 O3 Sr0.1,1
9574,B2 Ce3 Cl3 O6,0
9575,Ba5 Na2 O14 Ru3,0
9576,Ho1 Sn2,0
9577,Al2 Mn1 S4,0
9578,C2 Ca1 N2 S2,0
9579,Ba0.63 Fe0.32 K1.07 Na1.3 Nb0.12 O14 Si4 Ti1.44 Zr0.12,1
9580,Ni0.54 Re1 S2.8 Se1.2 Ta1,3
9581,Al1 Ca4 N5 Si1,0
9582,Bi1.68 S3 Sb0.32,1
9583,B1 Li2 Na1 O8 P2,0
9584,Al4 Fe0.09 Mg1.91 O18 Si5,1
9585,Fe0.98 Ge0.29 Mn1.02 P0.71,1
9586,Ba1 Be2 O7 Si2,0
9587,Cl3 Mn1 Rb1,0
9588,C1.9 Fe9.85 Nd1 Si1.15,3
9589,Cu1 Eu0.21 O1.94 Sr0.79,3
9590,Mn1 V1 Zr1,1
9591,K0.15 La0.75 Mn1 O3 Sm0.1,1
9592,B6 Ba0.05 Y0.95,1
9593,Cu6 Se4.5,2
9594,Eu1 Ga0.446 O6 Sb1.554,1
9595,Cu1.75 Se1,2
9596,Al6 Fe11 Y2,1
9597,Eu1 P12 Ru4,0
9598,Al1 Pt1 Y1,0
9599,Ag2 Si2 Sm1,0
9600,Au0.29 Ca1 Cd0.71,1
9601,Se12 U7,2
9602,Mn12 Zn8,0
9603,Cs8.8 Ga21.42 Na9.8 O96 Si26.58,3
9604,Ce1.2 Cu2 Gd0.8 O9 Sr2 Y0.5 Zn0.5,3
9605,Co2 Sc0.4 Ti0.2 Y0.4,1
9606,Cl1 Nd8.33 O30 W6,2
9607,Er11 Sn10,0
9608,Fe0.74 N2 W1,2
9609,Te3 Tl2 Zr1,0
9610,B4 Ni1 O7,0
9611,Ba0.98 Ca0.02 O3 Ti0.98 Zr0.02,1
9612,Bi2 Dy1 I1 O4,0
9613,Ni18 Pd7 Si9,1
9614,Ge1.5 Si1.5 U1,1
9615,Ba2 Cu1 Hg1 O4.194,2
9616,Ba8 Fe4.264 O24 Sc1.064 U2.664,1
9617,Ag1 Ca1 O4 V1,0
9618,Cd0.9 Mg0.1,1
9619,Fe0.4 Ge2 Mn1.6 Nd1,1
9620,Al4 Bi0.168 Mg2 O18 Si5,3
9621,Ho5 P12 Pd19,0
9622,Cl7 Ho2 Rb1,0
9623,Li0.985 Ni1.015 O2,1
9624,Mo2 O12 P2 Sr1,0
9625,Bi1.175 Nd0.825 O6.996 Ru2,3
9626,Co0.4 Mn0.6 Nd0.5 O3 Sr0.5,1
9627,C19 O19 Os7 S1,0
9628,Ca3.11 Na8 O17.52 U3.7,3
9629,La3 S2.286 Se1.714,1
9630,Ca0.2 La0.8 Si2,1
9631,In1 Se2 Ta1,0
9632,C0.92 Mo1 Ta1,3
9633,Fe2.91 O4 Si0.09,1
9634,Al1.25 Ge0.75 Re1,1
9635,Fe0.286 Li0.857 Mn1.857 O4,1
9636,N1 Na3 O3,3
9637,Mn0.005 O1 Zn0.995,1
9638,Cr2 Se3.2 Te0.8 Zn1,1
9639,Ba0.9965025 Bi0.00124875 Na0.00124875 O3 Ti0.999 Y0.002,1
9640,Ce1 Co9 Ge4,0
9641,In8 Ni7 Pr4,0
9642,Cs1 K1 Li12 Na2 O16 Si4,0
9643,Eu1 N7 Si4 Yb1,0
9644,C3 Al3 Lu1,0
9645,Cr0.15 La0.5 Mn0.85 O3 Sr0.5,1
9646,B4 Ca3 Ga3 O15 Y1,3
9647,Eu7.94 Ge12 Mg16.07,1
9648,K2 Te2,0
9649,As1 Se1 Tm1,0
9650,Al2 Ce0.8 Eu0.2,1
9651,Cs0.266 Na0.8 O12 P3 Sr0.2 Zr2,3
9652,Ga3 Mo26 O48 Sr4,0
9653,N4 O12 Ti1,0
9654,Ge5.79 La2 Li1,2
9655,Al1 Ba2 In1 O5,0
9656,Au0.024 F4 Sn0.976,1
9657,In1 Lu4 Pt1,0
9658,Cr0.2 Fe0.6 Mo0.2,1
9659,Ba5 F21 O2 Ta3,2
9660,Cu1 Eu1 Si3,1
9661,Ca1 Cu0.975 Zn0.025,1
9662,Ca0.5 Fe0.5 Mn12.5 O22 Sb0.5 Si2,1
9663,Ca0.3 Co0.38 Cu2 Fe0.1 Ga0.52 O6.9 Sr2 Tm0.7,3
9664,Bi4 Cd0.02 Cu0.09 Fe0.65 Mn1.1 Pb0.14 S8,1
9665,As0.96 Ce1 Se1.03,2
9666,Li0.45 Ni1.05 O2,3
9667,Cs2 Hg1 Se8 Sn3,0
9668,Co1 Ni1 Si1,0
9669,La1.5 Mn5 O13 Sr3.5,1
9670,La0.543 Mn1.022 O3 Sr0.434,1
9671,Fe2 La0.3 O6.84 Sr2.7,3
9672,Na2 O13 Si5 Ti1,2
9673,Al2.856 Fe14.144 Tb2,3
9674,Ge1 Ho1 Rh1,0
9675,Ba0.7 Bi1 K0.3 O2.91,3
9676,Ga1 S2.2 Se5.8 V4,3
9677,Al0.205 Fe0.281 Mg0.719 O3 Si0.795,1
9678,Al1.3 Cr0.7 O4 Zn1,1
9679,Cd1 Cs1 F3,0
9680,Ca0.25 Mn0.25 O12 P3 Ti2,1
9681,Al6 Cu11 U2,1
9682,Au1 Cs3 Sn4,0
9683,Ga5 Gd2 Ni3,0
9684,Ca1 Cu0.85 Ga0.15,1
9685,Ce0.25 O1.67 Th0.5 U0.25,3
9686,Fe0.181 Mg1.819 O4 Si1,1
9687,Bi1 Na1 Se2,1
9688,Al2 Sb6 Sr0.85 Yb4.15,1
9689,Dy6 Fe23,0
9690,B0.9 Ru3 Th1,2
9691,Ca0.33 Co0.1 La0.67 Mn0.9 O3,1
9692,Ba8 Pd4.2 Si41.8,1
9693,Co0.03 La0.67 Mn0.97 O3 Sr0.33,1
9694,As4 Rh6 Sr1,0
9695,Ba17 O57 Pt4 Yb16 Zn8,0
9696,Co0.3 Fe0.2 Mn0.5 Na0.67 O2,3
9697,Cd1 Se0.7 Te0.3,1
9698,Ge2 Ho2 Os1,0
9699,Ca0.89 Dy0.02 Eu0.09 O3 Ti1,3
9700,Mg1 O6 Ti1 Y2,0
9701,Ba5 Gd8 O21 Zn4,0
9702,Al3 Na1 O11 Si3,1
9703,Ca1.15 Cu2 La1.649 O6 Pr0.201,1
9704,Ge2 In2 O7,0
9705,Mn2 Nd1 O7 Sr2,1
9706,Ag5 O4 P1 Te1,0
9707,Dy0.005 Li3 O12 Te2 Y2.995,1
9708,Cr1 Li1 O11 Sr1 Ti4,1
9709,Br1.6 Cl0.4 Sr1,0
9710,Bi1.25 Nd0.75 O6.955 Ru2,3
9711,Cs2 O13 U4,2
9712,C6 La3.67 Os1,2
9713,Mg9.14 P7 Pt9,2
9714,C4 Br2 Cs2 N4 Pt1,0
9715,La3 Ni3 Zn1,0
9716,Al1 As2 K2 Na1,0
9717,Nb0.74 O6 Sb1.26 Ti1,1
9718,Co0.5 Fe2 O4 Zn0.5,1
9719,Mn4 Si7,0
9720,Ce1 Mn7 Ni5,1
9721,Lu1 Ni1 Sb1,0
9722,B3 O6 Rb3,0
9723,Ni1 Sb2,0
9724,Ca3 Ga3 O14 Si2 Ta1,0
9725,Cr2 Na2.79 O12 P3,2
9726,Bi0.9 Fe1 Nd0.1 O3,1
9727,B1 Cr0.4 Fe1.6,1
9728,Ge6 La2 Mg1,0
9729,B10 Cs2 K2 O17,0
9730,B6 U2 W1,0
9731,Ir1 Lu2 Ni1 O6,1
9732,La0.9 Li0.08 Mn1 Na0.02 O3,1
9733,C2 Ca1 Na2 O6,2
9734,Al8 Ce1 Fe2,0
9735,Cu15 Ga11 Sm2,1
9736,Ba1 O3 Sb0.1 Sn0.9,1
9737,Ba1 Ca2 Mg1 O8 Si2,0
9738, Al0.323 Ca0.661 Cr0.005 Fe0.206 Mg0.771 Mn0.001 Na0.153 O6 Si1.851 Ti0.029,1
9739,B3 Gd1 O6,0
9740,Cd2.06 Fe1.44 O14 P4,1
9741,Al6 Mn6 Zr1,1
9742,Se4 Ti5,0
9743,Bi3 Cl1 O8 Pb1 W1,1
9744,Cu0.4 Li2.6 O4 P1,1
9745,As6 Cs4,0
9746,Al1 Cl4 Li1,0
9747,As2 Mg2 O7,0
9748,Br1 In5 S5,0
9749,Al0.2 Bi0.9 Fe0.9 O3,1
9750,Co1 Lu1 Sn1,0
9751,Co4 P2.4 Si1.6,1
9752,Cd0.6 Te1 Zn0.4,1
9753,Ca9 Ho1 O28 V7,1
9754,Al4 B6 F1 K3 Li2 O20 Sr3,0
9755,Ba0.03 Co1 La0.97 O3,1
9756,Os1 Sb1 Te1,0
9757,Co1.5 Mg0.5 O4 Si1,1
9758,Eu1 S4 Sb2,0
9759,Sb0.012 Tl0.988,1
9760,Co8 Mn4 Sm1,0
9761,Cr5 Se8 Tl1,0
9762,La1 Ni0.8 O3 Sb0.2,1
9763,K1 Mo2 O8 Pr1,1
9764,F7 K1 Sb2,0
9765,Na2 O6 Si2 Sr1,1
9766,Ni1 P1 Ti1,0
9767,B5 Ca0.94 F3 Mg0.06 O7,1
9768,K1 O15 Pb2 Ta5,3
9769,Ba1 Bi2 Nb2 O9,1
9770,Mo0.65 Ni5.85 Ta6.5,1
9771,Cu46 Ga5 U14,3
9772,Ce1.5 Cu2 Eu0.5 Fe1 O9.43 Sr2,3
9773,Al0.06 Fe0.94 O3 Tm1,1
9774,As2 Bi0.042 Ce0.96 Co1.83,3
9775,Al1 Dy1 Fe1,1
9776,B5 Cl1 O9 Pb2,0
9777,Cu1 La1 O3.64 Sr1,3
9778,C60 Ba3,0
9779,Al7.808 Ce1.161 Pd3.525,3
9780,Fe8 In16 Li0.7 S32,3
9781,Lu2 O2 S1,0
9782,Ba1 Br0.63 F1 I0.37,1
9783,B6 Sm0.1 Yb0.9,1
9784,Ho8 Se14.6,2
9785,Fe0.93 O5 Ti2.07,1
9786,Cu0.35 Fe0.65 Rh2 S4,1
9787,Cs4 O3 Sn1,2
9788,Sb7.73 Ti10.84,3
9789,Cs7 F15 Fe4,0
9790,C6 Co1 N8 Sr1,2
9791,Ge1.48 Se7 Sm3,2
9792,Be1 F4 Sm1,0
9793,B4 Cr1 Tm1,0
9794,Co1.02 Fe1.98 O4,1
9795,Ba2 Cd1 P2,0
9796,Au5.017 Gd1 Si1.316,3
9797,Cu0.5 Fe2 Mn0.5 O4,1
9798,Cd2 Ga2 Sr1,0
9799,Ta83.03 Te60 V13.97,1
9800,Al1 In1 Mg2 O5,0
9801,Co1 Cu1.24 S8 Ti3,3
9802,Ir3 Mg1.44 Sn5.56,1
9803,B14 Ba4 O31 Pb2 Zn4,0
9804,Cd6 Sm1,2
9805,Br10 Gd6 Rh1,0
9806,Bi1.3 Ni9 S8 Sb0.7,1
9807,Eu3 Fe1.94 Ga3.06 O12,1
9808,C0.59 Ti1,2
9809,Pd29.86 Yb13 Zn23.14,1
9810,Ni0.8 Ru0.2,1
9811,Ta1 W1,1
9812,Fe17 Y2,0
9813,Cu3 Mn4 O12 Th1,0
9814,Fe0.8 Mn0.2 O2.79 Sr0.75 Y0.25,3
9815,Br6 K2 Re1,0
9816,La3 Mn2 O14 Sb3,0
9817,Na16 Rb7 Sb7,2
9818,Cs11 O3,0
9819,Cu1 Ga0.99 Mg0.01 O2,1
9820,La1 P2,0
9821,B28 Tb1.069,2
9822,Ba3 S7 Sn2,0
9823,Cr1 Gd0.67 Ho0.33 O3,1
9824,Ba0.95 Cs0.05 Fe2 Se3,1
9825,Cu1 Ge1 Hf1,0
9826,Co2 Sn1,0
9827,Ba6 Cu3 O10.56 Sm1,3
9828,F6 Li1 Mn1 Ti1,0
9829,La1.78 Mg1 Mn1 O5.88,2
9830,F2 Hg2,0
9831,Ge2 Mn2 Y1,0
9832,Ce0.15 Cu1 Gd1.85 O4,1
9833,Fe4 O11 Sr4,0
9834,Pt0.38 Tc0.62,1
9835,Nd0.88 O6.812 Pb1.12 Ru1.924,3
9836,F1 Na1 O12 P3 Sr3 Y1,0
9837,Cs3 Nb9 O32 Te4,0
9838,Ca2 F1 K2 Na1 O12 S3,3
9839,Be3 Co1 F9 Rb1,0
9840,Br81 La48 Os8,0
9841,Cl8 O12 Si8,0
9842,La3 Li1 S7 Sn1,0
9843,As2 Eu1 Fe1.72 Ir0.28,1
9844,B6 Lu5 Ni19,0
9845,C0.75 Ba2 Cu1 In0.25 O4.875,3
9846,Cr0.015 Li1.075 O2 V0.91,1
9847,Ag1.05 In0.05 Zn0.9,1
9848,Al10.081 Ba0.022 K1.875 Mg0.919 O17,3
9849,Cs0.18 Gd1.82 O6.82 Ti2,3
9850,Ba13.97 Fe7.65 O58.03 Ti15,3
9851,Ba3 Fe2 O9 Te1,3
9852,B1 Mo2,0
9853,Fe1.5 Nd0.5 O3,1
9854,Ba5 Br6 O4 Si1,0
9855,Al4.76 Fe3.74 Sm1,1
9856,Eu4 Ga2 Pt4,0
9857,Cd0.5 Cu0.25 Ga0.25 Se1,1
9858,Ca0.8 Eu0.2 O4 W1,1
9859,Al6 O11 Sr2,0
9860,Ce0.6875 O1.8438 Y0.3125,3
9861,La9.92 O26.88 Si6,2
9862,Cd15 Rh2,0
9863,Fe8.8 Gd0.8 Mo2.48 Nd0.2,3
9864,Ca0.001 Hf0.012 O4 S0.001 Si0.997 Y0.001 Zr0.987,1
9865,Si0.6 Sn0.4 V3,1
9866,Ce4 Cs2 Cu2 Se8,0
9867,Al4 Na14 O13,0
9868,Bi3 O12 Sr1 Ta1 Ti2,3
9869,Fe15 Si2 Y2,1
9870,Ba2 Cl4 Cu4 O11 Te4,0
9871,Nb1 O9 Rb1 S2,0
9872,Nb2.462 O11.693 Sr5.538,3
9873,Cr0.2 La0.5 Mn0.8 O3 Sr0.5,1
9874,Mg1 O4 W1,0
9875,N3.24 O0.76 Si3,1
9876,B2 Ba2 Mg1 O6,0
9877,Ca1 Ga1.14 Sn0.86,1
9878,Ca1 F4 S2 Sm2,3
9879,Ca1 Cu8.2 In2.8,1
9880,Co4 Nd0.032 Sb12,2
9881,Ir2 Os1 Zr5,1
9882,As4 Ba1 K5 Nb1,1
9883,Co0.5 Fe0.5 Sn1,1
9884,Cu1.12 Mn1 P2 Tb1,3
9885,Al0.7 Mn0.3 Ni3,1
9886,Cu2 La1 Sn2,0
9887,Hf6 Ni1 Sb2,0
9888,Ag1.474 As33.118 Pb20.898 S72 Sb0.51,1
9889,C1 Os1,0
9890,C0.84 Nb1,2
9891,Pu2 Si4 Tc3,0
9892,Cl1 Cu3 O8 Pb3 Sr3,3
9893,Ag0.25 Pb3.5 Sb0.25 Te4,1
9894,Ba1 F6 Ti1,0
9895,Fe0.52 La1 O6 Sb1.48,1
9896,Pr5 Rh4 Sn10,0
9897,Al0.5 Mn5 Si2.5,1
9898,Fe2 O6.64 Sr3,2
9899,Cr0.08 Ni0.92,1
9900,Ba5 Cl1 Fe3.411 O13 Pt1.589,1
9901,Si2 Tm1,0
9902,Ca0.2 Co1 O3 Pr0.8,1
9903,Ba2 Ca0.4 Cu2 Eu0.6 Hg1 O7,1
9904,La1 Mn0.87 Sb2,2
9905,Hg2.52 Sn1.48 Sr1,1
9906,Ba1 Cu3 O6.968 Sr1 Y1,3
9907,Al0.283 B1 Cr0.005 Fe0.665 Mg0.969 O4 Ti0.077,1
